Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10089621,2021-01-01 11:59:48,2019-09-13 07:54:47,89204820,26939855640,89204820,302,7948,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089621/SRR10089621.lite.1,SRX6822290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364866,SAMN12718575,simple,9606,Homo sapiens,GSM4071888,,,,,,,no,,,,,GEO,SRA959162,,public,6EF458379896DB6DDEEA370DDFFA46B0,8E07E873A373DB78C6928334CECAA569
SRR10089622,2021-01-01 11:59:48,2019-09-13 07:54:01,72748424,21970024048,72748424,302,6437,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089622/SRR10089622.lite.1,SRX6822291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364867,SAMN12718574,simple,9606,Homo sapiens,GSM4071889,,,,,,,no,,,,,GEO,SRA959162,,public,81D0770C7453C75E6637576604F56699,6D7AB0ED5BC3662BEB24B4472EADB376
SRR10089623,2021-01-01 11:59:48,2019-09-13 07:50:58,81011273,24465404446,81011273,302,7260,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089623/SRR10089623.lite.1,SRX6822292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364868,SAMN12718573,simple,9606,Homo sapiens,GSM4071890,,,,,,,no,,,,,GEO,SRA959162,,public,8BF795FF94D18C2BA97B16CB21B9B641,6B8550EB4416DE759E1C239EFD1EE84E
SRR10089624,2021-01-01 11:59:48,2019-09-13 07:57:44,91173166,27534296132,91173166,302,8117,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089624/SRR10089624.lite.1,SRX6822293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364869,SAMN12718572,simple,9606,Homo sapiens,GSM4071891,,,,,,,no,,,,,GEO,SRA959162,,public,BD5A1F74FB109F92190B25868FC3FACD,DBF70F662127EB12D4F89DA188EC99EC
SRR10089625,2021-01-01 11:59:48,2019-09-13 07:51:54,104194779,31466823258,104194779,302,9206,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089625/SRR10089625.lite.1,SRX6822294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364870,SAMN12718571,simple,9606,Homo sapiens,GSM4071892,,,,,,,no,,,,,GEO,SRA959162,,public,A31C4DE1758E85471E631F6B852AD7B3,BC1A7967289649AB20A9BA614F402134
SRR10089626,2021-01-01 11:59:48,2019-09-13 07:45:28,67326319,20332548338,67326319,302,5983,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089626/SRR10089626.lite.1,SRX6822295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364871,SAMN12718570,simple,9606,Homo sapiens,GSM4071893,,,,,,,no,,,,,GEO,SRA959162,,public,EAD42CEE318E073F5B4F514FB8D3BB3B,E4F1F1C20706DFEA16D68BF3F70FC573
SRR10089627,2021-01-01 11:59:48,2019-09-13 07:57:35,96448812,29127541224,96448812,302,8550,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089627/SRR10089627.lite.1,SRX6822296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364872,SAMN12718569,simple,9606,Homo sapiens,GSM4071894,,,,,,,no,,,,,GEO,SRA959162,,public,709DE8C1B18CE155566AC4123429121E,945B136787BBA06E3F1281747DD20EE2
SRR10089628,2021-01-01 11:59:48,2019-09-13 08:03:59,91302924,27573483048,91302924,302,8115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089628/SRR10089628.lite.1,SRX6822297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364873,SAMN12718568,simple,9606,Homo sapiens,GSM4071895,,,,,,,no,,,,,GEO,SRA959162,,public,ACB8400239EBD004F404F50273E02064,687504D32912BA904B0B1F1E4BBC7F1C
SRR10089629,2021-01-01 11:59:48,2019-09-13 07:51:44,81474223,24605215346,81474223,302,7391,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089629/SRR10089629.lite.1,SRX6822298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364874,SAMN12718567,simple,9606,Homo sapiens,GSM4071896,,,,,,,no,,,,,GEO,SRA959162,,public,9E6BC95A6EB838B1C47F7E042A08B496,CB7E498AB56313528C81E0FEE2E76136
SRR10089630,2021-01-01 11:59:48,2019-09-13 07:49:15,95614258,28875505916,95614258,302,8448,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089630/SRR10089630.lite.1,SRX6822299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364875,SAMN12718546,simple,9606,Homo sapiens,GSM4071897,,,,,,,no,,,,,GEO,SRA959162,,public,16085E070482D9AD050ABCE8163999B3,0E223A75CD7FD746D9901BFEF8F61281
SRR10089631,2021-01-01 11:59:49,2019-09-13 08:34:42,85124678,25707652756,85124678,302,7567,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089631/SRR10089631.lite.1,SRX6822300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364876,SAMN12718545,simple,9606,Homo sapiens,GSM4071898,,,,,,,no,,,,,GEO,SRA959162,,public,5359EF39F03D3307185DB340A13778F2,DEBFBDD4CC043964A8C5654CA77D1030
SRR10089632,2021-01-01 11:59:49,2019-09-13 07:41:28,94137431,28429504162,94137431,302,8327,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089632/SRR10089632.lite.1,SRX6822301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364877,SAMN12718566,simple,9606,Homo sapiens,GSM4071899,,,,,,,no,,,,,GEO,SRA959162,,public,6C8F38467780DDCE456EBF31BC040214,A5AC71DA30F59A94A6E39D83253A6950
SRR10089633,2021-01-01 11:59:49,2019-09-13 07:49:32,75450736,22786122272,75450736,302,6602,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089633/SRR10089633.lite.1,SRX6822302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364878,SAMN12718565,simple,9606,Homo sapiens,GSM4071900,,,,,,,no,,,,,GEO,SRA959162,,public,A4B8E25CB552DE12BE007C37B86832B9,86569393D33337F60B5EF8D2AE3CA78F
SRR10089634,2021-01-01 11:59:49,2019-09-13 08:03:41,91584860,27658627720,91584860,302,8097,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089634/SRR10089634.lite.1,SRX6822303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364879,SAMN12718564,simple,9606,Homo sapiens,GSM4071901,,,,,,,no,,,,,GEO,SRA959162,,public,BF317278F5D941EE4BC35D961A60526E,4C7F27461C8B0A53C9E138FED42CFCE5
SRR10089635,2021-01-01 11:59:49,2019-09-13 07:59:47,91338394,27584194988,91338394,302,7873,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089635/SRR10089635.lite.1,SRX6822304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364880,SAMN12718563,simple,9606,Homo sapiens,GSM4071902,,,,,,,no,,,,,GEO,SRA959162,,public,06B6482E9FE16B8A5EFD5EF81AEC868C,A4742042EA7A0DF76498FF28AD8513FE
SRR10089636,2021-01-01 11:59:49,2019-09-13 08:00:21,77899658,23525696716,77899658,302,6845,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089636/SRR10089636.lite.1,SRX6822305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364881,SAMN12718562,simple,9606,Homo sapiens,GSM4071903,,,,,,,no,,,,,GEO,SRA959162,,public,C9A5190BABC62A3C4DC55EE0C34AC844,BCC71ADD9847F066FF619D4A3D7A25BC
SRR10089637,2021-01-01 11:59:49,2019-09-13 07:52:45,85928249,25950331198,85928249,302,7664,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089637/SRR10089637.lite.1,SRX6822306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364882,SAMN12718561,simple,9606,Homo sapiens,GSM4071904,,,,,,,no,,,,,GEO,SRA959162,,public,8DF0555F43A968B293491036D9329208,F8AB4892ABDBFAEDB1465BDCEBA4E2EA
SRR10089638,2021-01-01 11:59:49,2019-09-13 07:52:43,89412366,27002534532,89412366,302,7878,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089638/SRR10089638.lite.1,SRX6822307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364883,SAMN12718560,simple,9606,Homo sapiens,GSM4071905,,,,,,,no,,,,,GEO,SRA959162,,public,D794D4BDB480349DFBA143AD1896C9C8,5BED816166EE7714D334E68033E25440
SRR10089639,2021-01-01 11:59:49,2019-09-13 07:44:17,73690359,22254488418,73690359,302,6261,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089639/SRR10089639.lite.1,SRX6822308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364884,SAMN12718592,simple,9606,Homo sapiens,GSM4071906,,,,,,,no,,,,,GEO,SRA959162,,public,7247E8DCEAD48D0C6F465BF420C9E321,B0F33ACE0D6C6E5F14712150AD28E007
SRR10089640,2021-01-01 11:59:49,2019-09-13 07:59:16,87102370,26304915740,87102370,302,7590,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089640/SRR10089640.lite.1,SRX6822309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364885,SAMN12718591,simple,9606,Homo sapiens,GSM4071907,,,,,,,no,,,,,GEO,SRA959162,,public,D5ED1A40D91FBA21ACA881F81F52CF37,4B3C1363F39410ACEC7251D30D3FA880
SRR10089641,2021-01-01 11:59:49,2019-09-13 08:13:34,125511547,37904487194,125511547,302,10819,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089641/SRR10089641.lite.1,SRX6822310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364886,SAMN12718586,simple,9606,Homo sapiens,GSM4071908,,,,,,,no,,,,,GEO,SRA959162,,public,CFF13A9BD3C2B77EA13BC028830CD4F4,4C7A9AE09C08C61320B409CEDEB40014
SRR10089642,2021-01-01 11:59:49,2019-09-13 07:47:56,96052910,29007978820,96052910,302,8250,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089642/SRR10089642.lite.1,SRX6822311,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364887,SAMN12718585,simple,9606,Homo sapiens,GSM4071909,,,,,,,no,,,,,GEO,SRA959162,,public,A9A6B96E3883AAD3132618A1E97CA953,3E314E8A350E9FAFD9AD512AD3A9C0CB
SRR10089643,2021-01-01 11:59:49,2019-09-13 07:47:38,88401623,26697290146,88401623,302,7620,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089643/SRR10089643.lite.1,SRX6822312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364888,SAMN12718584,simple,9606,Homo sapiens,GSM4071910,,,,,,,no,,,,,GEO,SRA959162,,public,18C63282C0AB283307B9F854C744A27B,6D71F536100B0EE8D6D209CF4F4EE2CF
SRR10089644,2021-01-01 11:59:49,2019-09-13 07:56:59,82041886,24776649572,82041886,302,7094,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089644/SRR10089644.lite.1,SRX6822313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364889,SAMN12718590,simple,9606,Homo sapiens,GSM4071911,,,,,,,no,,,,,GEO,SRA959162,,public,42F53E1A9F6D870B978ED422C84A3E87,CF702F7146B32A09E89E510802FB21A1
SRR10089645,2021-01-01 11:59:49,2019-09-13 07:46:11,71541741,21605605782,71541741,302,6105,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089645/SRR10089645.lite.1,SRX6822314,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364890,SAMN12718589,simple,9606,Homo sapiens,GSM4071912,,,,,,,no,,,,,GEO,SRA959162,,public,3D994DEABDF64916D248567AFE959A26,DD4F671C79A2517B6629623B068EEC9F
SRR10089646,2021-01-01 11:59:49,2019-09-13 08:00:27,98255475,29673153450,98255475,302,8472,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089646/SRR10089646.lite.1,SRX6822315,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364891,SAMN12718588,simple,9606,Homo sapiens,GSM4071913,,,,,,,no,,,,,GEO,SRA959162,,public,948807A7B82F92D4BE84C69E37BE7B69,B79014013CC86D43EFC0527384E707A4
SRR10089647,2021-01-01 11:59:49,2019-09-13 07:58:34,87158211,26321779722,87158211,302,7489,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089647/SRR10089647.lite.1,SRX6822316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364892,SAMN12718587,simple,9606,Homo sapiens,GSM4071914,,,,,,,no,,,,,GEO,SRA959162,,public,5F4B09A85CB0F3260095E8FD6FEBB30B,8B40A4956014CCEEBEFCC267BC1F2553
SRR10089648,2021-01-01 11:59:49,2019-09-13 07:33:44,70184944,21195853088,70184944,302,5986,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089648/SRR10089648.lite.1,SRX6822317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364893,SAMN12718583,simple,9606,Homo sapiens,GSM4071915,,,,,,,no,,,,,GEO,SRA959162,,public,EAC3A7420F6D7D8F47C301A2F247F3ED,EAA9FDECA0321925A936B2D72BAA2646
SRR10089649,2021-01-01 11:59:49,2019-09-13 07:59:39,95939860,28973837720,95939860,302,8207,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089649/SRR10089649.lite.1,SRX6822318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364894,SAMN12718582,simple,9606,Homo sapiens,GSM4071916,,,,,,,no,,,,,GEO,SRA959162,,public,6ACA0F4AD11BFDE8B08A85744AE1F691,0241E480D801C4E7B8DA84BA733A77EA
SRR10089650,2021-01-01 11:59:49,2019-09-13 07:43:09,73796641,22286585582,73796641,302,6372,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089650/SRR10089650.lite.1,SRX6822319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364895,SAMN12718581,simple,9606,Homo sapiens,GSM4071917,,,,,,,no,,,,,GEO,SRA959162,,public,E67AE824569F3F0D517A3CF6BECF9278,1689CEC31A5CB15722C60D7271C68BF6
SRR10089651,2021-01-01 11:59:49,2019-09-13 08:04:22,100307529,30292873758,100307529,302,8989,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089651/SRR10089651.lite.1,SRX6822320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364896,SAMN12718580,simple,9606,Homo sapiens,GSM4071918,,,,,,,no,,,,,GEO,SRA959162,,public,4BC9D76BF1C2DB04192430C4613FD021,CD093F938FAE7C121B9C0EDD01DF23CF
SRR10089652,2021-01-01 11:59:49,2019-09-13 07:38:34,77750336,23480601472,77750336,302,6966,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089652/SRR10089652.lite.1,SRX6822321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364897,SAMN12718579,simple,9606,Homo sapiens,GSM4071919,,,,,,,no,,,,,GEO,SRA959162,,public,988FCAE524CE2769D101966007E09A14,89ADCF1CD39186D37D0BA62D4DF85514
SRR10089653,2021-01-01 11:59:49,2019-09-13 07:59:50,86520325,26129138150,86520325,302,7753,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10089/SRR10089653/SRR10089653.lite.1,SRX6822322,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP221152,PRJNA564629,3,564629,SRS5364898,SAMN12718578,simple,9606,Homo sapiens,GSM4071920,,,,,,,no,,,,,GEO,SRA959162,,public,64307EB484EA9D0A39E825CE623135B9,D95E0F64E4622AD7B49B7E5A1749C934
